season,episode,name,description,rating,airdate,link
1,1,Slumber Party Panic,Princess Bumblegum's latest experiment accidentally unleashes an undead horde upon the Candy Kingdom.,7.7,1270418400,http://www.imdb.com//title/tt1615520/?ref_=ttep_ep1
1,2,Trouble in Lumpy Space,"Jake is bitten by Lumpy Space Princess and begins to transform into a Lumpy being. In order to find a cure, Finn is travels to Lumpy Space.",7.6,1270418400,http://www.imdb.com//title/tt1615521/?ref_=ttep_ep2
1,3,Prisoners of Love,"After the Ice King kidnaps a large group of princesses, its up to Finn and Jake to free them.",7.5,1271023200,http://www.imdb.com//title/tt1622039/?ref_=ttep_ep3
1,4,Tree Trunks,"Tree Trunks joins Finn and Jake on an quest, but finds her talents for adventuring leave something to be desired.",7.7,1271023200,http://www.imdb.com//title/tt1626279/?ref_=ttep_ep4
1,5,The Enchiridion!,"Princess Bubblegum sends Finn on his most challenging quest yet--to recover The Enchiridion, the hero's handbook.",7.9,1271628000,http://www.imdb.com//title/tt1626278/?ref_=ttep_ep5
1,6,The Jiggler,"After finding a Jiggler in the wild, Finn and Jake decide to adopt the funny creature as a pet.",7.4,1271628000,http://www.imdb.com//title/tt2237922/?ref_=ttep_ep6
1,7,Ricardio the Heart Guy,"A new stranger arrives in the Candy Kingdom: a charismatic talking heart named Ricardio. He soon becomes very popular, except to Finn who believes he's hiding something.",7.5,1272232800,http://www.imdb.com//title/tt1626280/?ref_=ttep_ep7
1,8,Business Time,Finn and Jake discover a tribe of businessmen frozen in a block of ice and hire them to make adventuring easier.,7.8,1272232800,http://www.imdb.com//title/tt2237940/?ref_=ttep_ep8
1,9,My Two Favorite People,"Jake tries hanging out with both his best friend, Finn, and his girlfriend, Lady Rainicorn, at the same time. But soon Jake becomes jealous when Finn and Lady seem too friendly.",7.8,1272837600,http://www.imdb.com//title/tt2237954/?ref_=ttep_ep9
1,10,Memories of Boom Boom Mountain,"While having trouble solving the contradictory problems of the residents of a mountain village, Finn recalls where he found the desire to help people.",8.0,1272837600,http://www.imdb.com//title/tt1685055/?ref_=ttep_ep10
1,11,Wizard,Finn and Jake discover a secret tribe of wizards and take magic lessons for a price they aren't prepared to pay.,8.1,1273442400,http://www.imdb.com//title/tt1698778/?ref_=ttep_ep11
1,12,Evicted!,After Marceline the Vampire Queen visits Finn and Jake at their tree fort she informs them that she is moving in and kicking them out.,8.3,1274047200,http://www.imdb.com//title/tt2237972/?ref_=ttep_ep12
1,13,City of Thieves,A mission leads Jake into a city where everyone is a thief and the chance to be corrupted is incredibly strong.,7.9,1274652000,http://www.imdb.com//title/tt1699254/?ref_=ttep_ep13
